Price,Close,High,Low,Open,Volume
Ticker,9983.T,9983.T,9983.T,9983.T,9983.T
Datetime,,,,,
2026-02-13 04:01:00+00:00,68380.0,68380.0,68360.0,68370.0,900
2026-02-13 04:02:00+00:00,68370.0,68390.0,68370.0,68370.0,900
2026-02-13 04:03:00+00:00,68350.0,68350.0,68350.0,68350.0,200
2026-02-13 04:04:00+00:00,68330.0,68340.0,68330.0,68340.0,800
2026-02-13 04:05:00+00:00,68300.0,68330.0,68300.0,68330.0,2800
2026-02-13 04:06:00+00:00,68330.0,68330.0,68310.0,68310.0,800
2026-02-13 04:07:00+00:00,68310.0,68310.0,68310.0,68310.0,400
2026-02-13 04:08:00+00:00,68300.0,68310.0,68300.0,68310.0,200
2026-02-13 04:09:00+00:00,68320.0,68330.0,68300.0,68300.0,700
2026-02-13 04:10:00+00:00,68320.0,68330.0,68320.0,68330.0,500
2026-02-13 04:11:00+00:00,68340.0,68340.0,68340.0,68340.0,100
2026-02-13 04:12:00+00:00,68340.0,68350.0,68330.0,68350.0,600
2026-02-13 04:13:00+00:00,68350.0,68360.0,68350.0,68350.0,400
2026-02-13 04:14:00+00:00,68320.0,68320.0,68320.0,68320.0,100
2026-02-13 04:15:00+00:00,68340.0,68340.0,68320.0,68320.0,1300
2026-02-13 04:16:00+00:00,68520.0,68520.0,68370.0,68370.0,6200
2026-02-13 04:17:00+00:00,68580.0,68600.0,68540.0,68540.0,3400
2026-02-13 04:18:00+00:00,68600.0,68600.0,68560.0,68570.0,2000
2026-02-13 04:19:00+00:00,68570.0,68600.0,68570.0,68580.0,2600
2026-02-13 04:20:00+00:00,68530.0,68590.0,68530.0,68580.0,1900
2026-02-13 04:21:00+00:00,68500.0,68520.0,68500.0,68520.0,600
2026-02-13 04:22:00+00:00,68520.0,68520.0,68500.0,68500.0,500
2026-02-13 04:23:00+00:00,68520.0,68520.0,68510.0,68510.0,400
2026-02-13 04:24:00+00:00,68540.0,68550.0,68530.0,68530.0,1000
2026-02-13 04:25:00+00:00,68540.0,68550.0,68540.0,68550.0,200
2026-02-13 04:26:00+00:00,68530.0,68550.0,68530.0,68530.0,300
2026-02-13 04:27:00+00:00,68530.0,68530.0,68520.0,68530.0,400
2026-02-13 04:28:00+00:00,68570.0,68570.0,68540.0,68540.0,700
2026-02-13 04:29:00+00:00,68550.0,68580.0,68550.0,68580.0,1400
2026-02-13 04:30:00+00:00,68570.0,68570.0,68540.0,68560.0,1200
